Datum,IC_Bedden_COVID,IC_Bedden_Non_COVID,Kliniek_Bedden,IC_Nieuwe_Opnames_COVID,Kliniek_Nieuwe_Opnames_COVID
26-07-2021,140,527,437,17,75
25-07-2021,134,531,399,16,71
24-07-2021,116,546,388,17,72
23-07-2021,107,578,370,7,77
22-07-2021,107,581,329,11,61
21-07-2021,106,573,322,13,65
20-07-2021,100,543,315,20,76
19-07-2021,84,527,277,9,54
18-07-2021,76,535,235,2,42
17-07-2021,77,572,207,5,50
16-07-2021,75,597,190,5,49
15-07-2021,72,613,158,3,35
14-07-2021,74,591,138,3,18
13-07-2021,75,584,129,2,16
12-07-2021,84,535,129,3,12
11-07-2021,88,561,118,4,9
10-07-2021,82,614,123,1,12
09-07-2021,86,597,120,1,14
08-07-2021,90,606,106,1,9
07-07-2021,104,607,102,0,8
06-07-2021,103,583,109,2,8
05-07-2021,110,575,126,3,8
04-07-2021,99,534,126,0,4
03-07-2021,102,564,128,0,8
02-07-2021,108,577,140,0,11
01-07-2021,119,574,159,1,9
30-06-2021,128,586,168,0,11
29-06-2021,127,577,182,0,12
28-06-2021,142,516,189,4,8
27-06-2021,141,550,204,3,12
26-06-2021,141,575,198,3,19
25-06-2021,147,599,216,2,9
24-06-2021,158,571,234,1,11
23-06-2021,170,578,255,5,24
22-06-2021,185,573,277,4,19
21-06-2021,197,541,294,5,12
20-06-2021,NA,NA,NA,NA,NA
19-06-2021,NA,NA,NA,NA,NA
18-06-2021,218,565,315,4,32
17-06-2021,226,580,347,5,32
16-06-2021,239,602,366,8,32
15-06-2021,250,541,395,6,39
14-06-2021,263,524,418,8,24
13-06-2021,265,526,411,8,26
12-06-2021,269,541,403,5,46
11-06-2021,281,565,448,8,51
10-06-2021,297,554,486,11,40
09-06-2021,304,531,530,6,49
08-06-2021,321,516,616,3,49
07-06-2021,343,468,650,7,51
06-06-2021,344,503,654,11,47
05-06-2021,351,531,658,7,76
04-06-2021,377,554,688,14,63
03-06-2021,394,541,704,10,74
02-06-2021,420,518,769,8,69
01-06-2021,447,510,793,6,77
31-05-2021,477,495,850,10,55
30-05-2021,486,479,841,14,75
29-05-2021,499,522,853,17,93
28-05-2021,521,543,919,27,93
27-05-2021,541,521,971,14,69
26-05-2021,559,507,1059,15,93
25-05-2021,579,441,1102,18,105
24-05-2021,598,416,1097,19,92
23-05-2021,610,414,1104,27,96
22-05-2021,602,444,1129,24,139
21-05-2021,608,475,1214,24,135
20-05-2021,621,486,1278,21,138
19-05-2021,637,479,1365,29,158
18-05-2021,646,476,1503,33,199
17-05-2021,681,427,1502,23,115
16-05-2021,686,429,1466,26,137
15-05-2021,710,442,1473,40,220
14-05-2021,728,414,1522,22,141
13-05-2021,733,422,1498,35,205
12-05-2021,738,477,1607,40,209
11-05-2021,748,444,1732,29,255
10-05-2021,757,385,1730,38,183
09-05-2021,767,395,1668,24,175
08-05-2021,778,406,1700,37,264
07-05-2021,797,403,1724,44,243
06-05-2021,807,409,1744,41,218
05-05-2021,830,406,1715,47,244
04-05-2021,818,408,1795,47,272
03-05-2021,825,366,1817,47,210
02-05-2021,804,366,1796,40,174
01-05-2021,811,403,1827,60,260
30-04-2021,807,423,1899,48,311
29-04-2021,813,440,1891,42,296
28-04-2021,814,406,1797,42,232
27-04-2021,820,420,1777,57,335
26-04-2021,813,404,1759,35,212
25-04-2021,841,381,1691,48,207
24-04-2021,816,413,1698,49,273
23-04-2021,837,441,1776,49,237
22-04-2021,839,419,1843,37,289
21-04-2021,822,428,1792,47,296
20-04-2021,823,425,1830,58,327
19-04-2021,813,394,1731,44,188
18-04-2021,808,377,1670,56,228
17-04-2021,802,413,1626,60,271
16-04-2021,792,426,1698,51,242
15-04-2021,789,421,1688,39,232
14-04-2021,784,430,1715,46,228
13-04-2021,794,454,1760,45,261
12-04-2021,794,387,1788,45,226
11-04-2021,788,375,1729,45,218
10-04-2021,787,404,1704,53,304
09-04-2021,784,421,1711,45,262
08-04-2021,798,435,1727,57,269
07-04-2021,776,429,1782,57,285
06-04-2021,750,387,1748,44,207
05-04-2021,746,369,1628,58,205
04-04-2021,730,367,1587,53,177
03-04-2021,734,407,1614,54,243
02-04-2021,705,419,1625,48,276
